company_name,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date,ticker,filing_date
EDGE Markets Inc.,Other,Software & Technology,,,N/A,,,2022-05-18,,,501330,500000,0.32,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Rebric Inc.,Other,Software & Technology,,,N/A,,,2021-10-12,,,1002755,157658,0.10,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Kinetiq Holdings LLC,Other,Media & Entertainment,,,N/A,,,2012-03-30,,,,,,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
CTN Holdings Inc.,Other,Environmental Services,,,N/A,,,2015-08-11,,,1001815,,,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
CTN Holdings Inc.,Other,Environmental Services,,,N/A,,,2019-08-12,,,281190,,,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Fullbridge Inc.,Other,Business Services,,,,,,2012-05-13,,,,,,6150506,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Fullbridge Inc.,Other,Business Services,1.47%,,,,,2016-03-03,2021-11-09,2270458,,,,2270858,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
StormWind LLC,Other,Education,8%,,,,,2019-11-26,,,,501626,0.32,257267,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
StormWind LLC,Other,Education,8%,,,,,2014-01-07,,,,5376994,3.41,4000787,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
StormWind LLC,Other,Education,8%,,,,,2011-12-16,,,,3233922,2.05,2019687,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
StormWind LLC,Other,Education,8%,,,,,2014-02-25,,,,156285,0.10,110000,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Maven Research Inc.,Other,Other,,,,,,2012-07-02,,,,,,2000447,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Maven Research Inc.,Other,Other,,,,,,2012-02-28,,,,,,217206,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Curious.com Inc.,Other,Software & Technology,,,,,,2013-11-22,,,,,,12000006,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Colombier Sponsor II LLC,Other,Financial Services,,,,,,2023-11-20,,,,1101695,0.70,1103719,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
Colombier Sponsor II LLC,Other,Financial Services,,,,,,,,,,498305,0.32,499221,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
CW Opportunity 2 LP,Other,,,,N/A,,,,,,,,,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
"Rebric, Inc.",Other,,,,N/A,,,2025-10-16,,,,,,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
True Global Ventures 4 Plus Pte Ltd.,Other,,,,N/A,,,2025-10-31,,,,,,,,,,,dspy_extracted,SSSS,2025-11-06,SSSS,2025-11-06
